Symptom,Age Group,Medicine,Dosage
Headache (mild),Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Headache (mild),1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Headache (mild),3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Headache (mild),6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Headache (mild),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Headache (high),Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Headache (high),1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Headache (high),3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Headache (high),6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Headache (high),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Eye itching,Below 1 year,Saline eye drops / supportive care,Saline drops 1-2 drops as needed; refer to pediatrician for antibiotic drops if infected
Eye itching,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Eye itching,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Eye itching,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Eye itching,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Ear pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
